Age Group,Annual Income,Education,Occupation,Leisure Travel Frequency,Business Travel Frequency,Preferred Hotel Type,Advance Booking Days,Stay Length (Nights),ADR Budget,Booking Priority,Use Price Comparison,Trust AI,Price Prediction Importance,Desired Features,Platforms Used,Booking Challenges,Booking Device,Subscription Willingness,Use Bundle Feature,Pay More for Sustainability,Refer Platform,Booking Motivation 1,Booking Motivation 2,Delayed Booking for Drop,Additional Features
18–24,922575,Master’s Degree,Retired,Once a year,Monthly,No Preference,4–7 days,2,7000–10000,Lowest price,Rarely,Yes,Somewhat Important,"Real-time price predictions, Personalized stay duration suggestions, Customer reviews","MakeMyTrip, Booking.com","Limited deals, Booking too late, Lack of transparent pricing",Travel Agent,₹199,Probably,"Yes, definitely",Not Likely,Brand name,Location,Yes,Late check-out
18–24,749054,Master’s Degree,Freelancer,Monthly or more,Occasionally,Resort Hotel,1–3 days,3–5,2000–4000,Best amenities,Always,No,Neutral,"Customer reviews, Hotel comparison engine, Personalized stay duration suggestions","Agoda, Airbnb, Goibibo, MakeMyTrip",Limited deals,Desktop Website,Depends on the savings,Probably Not,Only if price difference is small,Maybe,Price,Brand name,Yes,Loyalty rewards
35–44,97660,Other,Working Professional,Monthly or more,Monthly,No Preference,4–7 days,2,4000–7000,Balanced,Rarely,No,Extremely Important,"Targeted discount alerts, Customer reviews, Personalized stay duration suggestions, Real-time price predictions","MakeMyTrip, Agoda, Booking.com","Hidden charges, Poor UI/UX, Booking too late",Mobile App,₹99,Probably Not,No,Maybe,Brand name,Brand name,No,Early check-in
35–44,2088963,Master’s Degree,Freelancer,Rarely,Weekly,City Hotel,Same day,3–5,7000–10000,Lowest price,Sometimes,Yes,Somewhat Important,Personalized stay duration suggestions,"Airbnb, Others, MakeMyTrip, Booking.com","Hidden charges, Prices fluctuate too much",Desktop Website,Depends on the savings,Unsure,"Yes, definitely",Absolutely,Price,Location,No,Early check-in
18–24,22066,Bachelor’s Degree,Student,2–3 times a year,Weekly,No Preference,8–14 days,2,2000–4000,Balanced,Always,No,Neutral,Personalized stay duration suggestions,"MakeMyTrip, Booking.com, OYO, Agoda",Booking too late,Desktop Website,Depends on the savings,Definitely,Only if price difference is small,Absolutely,Location,Reviews,No,Loyalty rewards
18–24,70625,Master’s Degree,Freelancer,Once a year,Weekly,No Preference,1–3 days,1,>10000,Best amenities,Always,Maybe,Neutral,"Hotel comparison engine, Real-time price predictions, Personalized stay duration suggestions, Targeted discount alerts","Others, Agoda, OYO, Airbnb","Limited deals, Hidden charges",Desktop Website,₹99,Never,No,Maybe,Brand name,Location,No,AI chatbot
35–44,851284,Bachelor’s Degree,Business Owner,Monthly or more,Never,Resort Hotel,15+ days,2,2000–4000,Lowest price,Sometimes,Yes,Somewhat Important,"Customer reviews, Real-time price predictions","Booking.com, Airbnb, MakeMyTrip","Limited deals, Hidden charges",Desktop Website,₹0,Definitely,Only if price difference is small,Absolutely,Price,Brand name,No,AI chatbot
18–24,352460,Bachelor’s Degree,Other,2–3 times a year,Occasionally,No Preference,15+ days,6–10,4000–7000,Balanced,Always,Yes,Extremely Important,"Targeted discount alerts, Hotel comparison engine","Others, MakeMyTrip, Agoda","Limited deals, Prices fluctuate too much",Mobile App,₹199,Definitely,Only if price difference is small,Not Likely,Location,Location,Yes,Loyalty rewards
45–54,659881,Master’s Degree,Working Professional,Once a year,Never,Resort Hotel,Same day,6–10,4000–7000,Lowest price,Rarely,Yes,Neutral,Customer reviews,"MakeMyTrip, Booking.com","Lack of transparent pricing, Booking too late, Prices fluctuate too much",Mobile App,₹99,Never,No,Not Likely,Location,Price,Yes,Loyalty rewards
35–44,446223,PhD or Higher,Freelancer,Every quarter,1–2 times a quarter,Resort Hotel,4–7 days,2,>10000,Lowest price,Sometimes,No,Extremely Important,"Customer reviews, Real-time price predictions, Hotel comparison engine",MakeMyTrip,"Booking too late, Limited deals, Prices fluctuate too much",Travel Agent,₹99,Probably Not,No,Maybe,Location,Reviews,Yes,
18–24,176589,PhD or Higher,Student,Every quarter,Occasionally,City Hotel,4–7 days,6–10,2000–4000,Balanced,Never,Maybe,Extremely Important,"Targeted discount alerts, Personalized stay duration suggestions, Customer reviews","Airbnb, OYO, Booking.com","Hidden charges, Limited deals",Travel Agent,Depends on the savings,Unsure,"Yes, definitely",Not Likely,Reviews,Location,Yes,
18–24,583796,Bachelor’s Degree,Other,Once a year,Monthly,City Hotel,Same day,3–5,4000–7000,Lowest price,Sometimes,Maybe,Neutral,"Targeted discount alerts, Personalized stay duration suggestions, Hotel comparison engine, Real-time price predictions","MakeMyTrip, Airbnb, Others",Prices fluctuate too much,Travel Agent,₹99,Probably,No,Maybe,Brand name,Brand name,No,Late check-out
55+,505701,Bachelor’s Degree,Working Professional,Rarely,Weekly,City Hotel,15+ days,More than 10,4000–7000,Balanced,Never,Yes,Somewhat Important,"Customer reviews, Hotel comparison engine",MakeMyTrip,"Lack of transparent pricing, Hidden charges, Poor UI/UX",Travel Agent,₹199,Probably Not,No,Maybe,Brand name,Location,No,
25–34,87219,Bachelor’s Degree,Student,Once a year,1–2 times a quarter,City Hotel,15+ days,3–5,2000–4000,Lowest price,Never,Maybe,Extremely Important,"Targeted discount alerts, Customer reviews, Hotel comparison engine, Personalized stay duration suggestions","OYO, MakeMyTrip, Airbnb, Others","Prices fluctuate too much, Booking too late, Hidden charges",Desktop Website,₹0,Unsure,Only if price difference is small,Maybe,Brand name,Location,Yes,AI chatbot
25–34,4687,Other,Retired,Once a year,Occasionally,Resort Hotel,4–7 days,3–5,4000–7000,Lowest price,Sometimes,Maybe,Not Important,"Hotel comparison engine, Personalized stay duration suggestions, Customer reviews, Targeted discount alerts",OYO,Lack of transparent pricing,Travel Agent,₹0,Probably Not,No,Not Likely,Brand name,Amenities,Yes,
45–54,648156,Other,Business Owner,Rarely,Never,No Preference,1–3 days,1,4000–7000,Lowest price,Sometimes,No,Somewhat Important,"Real-time price predictions, Personalized stay duration suggestions, Hotel comparison engine","OYO, Others",Prices fluctuate too much,Travel Agent,₹0,Never,Only if price difference is small,Maybe,Reviews,Location,No,Loyalty rewards
55+,52223,Master’s Degree,Retired,Rarely,Weekly,City Hotel,8–14 days,3–5,4000–7000,Best amenities,Never,Yes,Neutral,"Real-time price predictions, Customer reviews, Targeted discount alerts",Goibibo,"Booking too late, Poor UI/UX",Desktop Website,₹199,Definitely,Only if price difference is small,Maybe,Brand name,Price,No,
55+,804896,Master’s Degree,Business Owner,2–3 times a year,Never,City Hotel,1–3 days,More than 10,2000–4000,Best amenities,Never,Maybe,Not Important,"Real-time price predictions, Targeted discount alerts","Others, Airbnb, Booking.com, MakeMyTrip","Hidden charges, Limited deals, Poor UI/UX",Mobile App,Depends on the savings,Never,No,Absolutely,Price,Brand name,No,Loyalty rewards
35–44,404935,Master’s Degree,Freelancer,2–3 times a year,Occasionally,City Hotel,15+ days,3–5,2000–4000,Balanced,Always,Yes,Extremely Important,"Targeted discount alerts, Hotel comparison engine, Real-time price predictions, Customer reviews","MakeMyTrip, Booking.com","Lack of transparent pricing, Booking too late",Travel Agent,₹199,Probably,No,Not Likely,Location,Amenities,No,
25–34,478537,Master’s Degree,Working Professional,Rarely,Occasionally,No Preference,1–3 days,2,4000–7000,Lowest price,Sometimes,Maybe,Somewhat Important,"Customer reviews, Real-time price predictions","OYO, Airbnb, Others","Limited deals, Booking too late, Prices fluctuate too much",Mobile App,₹99,Never,No,Maybe,Reviews,Location,No,AI chatbot
18–24,219550,High School,Freelancer,Every quarter,1–2 times a quarter,City Hotel,8–14 days,2,2000–4000,Balanced,Sometimes,Maybe,Not Important,"Customer reviews, Real-time price predictions, Personalized stay duration suggestions","Others, MakeMyTrip, OYO","Lack of transparent pricing, Poor UI/UX, Hidden charges",Travel Agent,₹299+,Definitely,No,Absolutely,Reviews,Reviews,Yes,Loyalty rewards
45–54,4039721,Bachelor’s Degree,Business Owner,Every quarter,Monthly,No Preference,1–3 days,3–5,2000–4000,Best amenities,Always,Yes,Somewhat Important,"Customer reviews, Hotel comparison engine","Goibibo, Agoda, Airbnb",Limited deals,Mobile App,₹299+,Probably Not,"Yes, definitely",Maybe,Brand name,Price,Yes,AI chatbot
35–44,715626,Master’s Degree,Business Owner,Once a year,Never,Resort Hotel,1–3 days,3–5,>10000,Best amenities,Sometimes,Maybe,Extremely Important,"Customer reviews, Personalized stay duration suggestions, Hotel comparison engine, Targeted discount alerts","MakeMyTrip, Booking.com","Lack of transparent pricing, Prices fluctuate too much, Booking too late",Travel Agent,₹299+,Unsure,Only if price difference is small,Not Likely,Location,Price,Yes,Loyalty rewards
25–34,684686,Master’s Degree,Business Owner,Monthly or more,1–2 times a quarter,Resort Hotel,1–3 days,3–5,4000–7000,Best amenities,Always,Yes,Somewhat Important,Real-time price predictions,"MakeMyTrip, OYO",Prices fluctuate too much,Mobile App,₹0,Probably,"Yes, definitely",Absolutely,Price,Price,Yes,Late check-out
45–54,1585918,Bachelor’s Degree,Other,Once a year,Weekly,Resort Hotel,1–3 days,More than 10,4000–7000,Best amenities,Always,No,Not Important,"Targeted discount alerts, Hotel comparison engine, Personalized stay duration suggestions",Airbnb,"Limited deals, Booking too late, Hidden charges",Mobile App,₹199,Probably Not,"Yes, definitely",Absolutely,Location,Amenities,No,AI chatbot
18–24,197954,PhD or Higher,Student,Once a year,Monthly,No Preference,Same day,1,2000–4000,Balanced,Sometimes,Yes,Somewhat Important,"Personalized stay duration suggestions, Customer reviews, Real-time price predictions",Goibibo,Lack of transparent pricing,Travel Agent,₹199,Unsure,Only if price difference is small,Maybe,Amenities,Location,Yes,
25–34,182356,Bachelor’s Degree,Working Professional,Monthly or more,1–2 times a quarter,City Hotel,15+ days,2,2000–4000,Lowest price,Rarely,Maybe,Neutral,Real-time price predictions,Airbnb,Poor UI/UX,Mobile App,₹0,Definitely,"Yes, definitely",Maybe,Location,Price,Yes,
Under 18,2804373,Bachelor’s Degree,Freelancer,Rarely,Never,City Hotel,8–14 days,6–10,2000–4000,Balanced,Never,No,Neutral,Real-time price predictions,"Others, MakeMyTrip, Booking.com, Agoda","Poor UI/UX, Lack of transparent pricing",Travel Agent,₹99,Never,No,Not Likely,Price,Location,Yes,
25–34,297657,Master’s Degree,Freelancer,Every quarter,Occasionally,City Hotel,15+ days,2,2000–4000,Lowest price,Sometimes,Yes,Not Important,"Customer reviews, Hotel comparison engine, Real-time price predictions",Agoda,"Prices fluctuate too much, Booking too late",Travel Agent,₹299+,Probably Not,No,Not Likely,Price,Reviews,Yes,
18–24,1086637,Master’s Degree,Retired,Once a year,Weekly,City Hotel,Same day,2,4000–7000,Best amenities,Rarely,Maybe,Somewhat Important,Customer reviews,Goibibo,"Booking too late, Lack of transparent pricing, Prices fluctuate too much",Desktop Website,₹299+,Unsure,No,Maybe,Price,Location,Yes,Loyalty rewards
18–24,248400,Master’s Degree,Business Owner,Monthly or more,Never,City Hotel,Same day,3–5,4000–7000,Lowest price,Always,Yes,Not Important,Customer reviews,"Airbnb, Goibibo, Booking.com, OYO","Booking too late, Poor UI/UX, Hidden charges",Travel Agent,₹0,Unsure,No,Absolutely,Reviews,Location,No,Late check-out
18–24,5947361,Bachelor’s Degree,Business Owner,2–3 times a year,Monthly,No Preference,Same day,6–10,2000–4000,Best amenities,Rarely,Yes,Somewhat Important,"Real-time price predictions, Targeted discount alerts","Goibibo, OYO, MakeMyTrip, Booking.com","Lack of transparent pricing, Limited deals, Booking too late",Travel Agent,₹299+,Never,Only if price difference is small,Not Likely,Reviews,Location,Yes,Loyalty rewards
35–44,483251,Bachelor’s Degree,Business Owner,Once a year,Monthly,Resort Hotel,Same day,2,<2000,Balanced,Sometimes,Maybe,Extremely Important,Real-time price predictions,"Airbnb, Others, MakeMyTrip, Agoda","Prices fluctuate too much, Limited deals, Booking too late",Travel Agent,Depends on the savings,Probably Not,No,Not Likely,Amenities,Brand name,Yes,AI chatbot
35–44,790418,Master’s Degree,Freelancer,Every quarter,Occasionally,City Hotel,1–3 days,6–10,2000–4000,Lowest price,Sometimes,Maybe,Neutral,"Targeted discount alerts, Personalized stay duration suggestions, Customer reviews","Others, MakeMyTrip, OYO, Airbnb","Prices fluctuate too much, Lack of transparent pricing",Travel Agent,₹199,Probably Not,Only if price difference is small,Absolutely,Location,Amenities,No,
35–44,443611,Master’s Degree,Retired,Rarely,Occasionally,Resort Hotel,15+ days,6–10,2000–4000,Balanced,Rarely,No,Extremely Important,Real-time price predictions,Airbnb,"Prices fluctuate too much, Booking too late, Limited deals",Desktop Website,₹299+,Definitely,Only if price difference is small,Maybe,Brand name,Location,No,
55+,514065,Bachelor’s Degree,Student,Once a year,Weekly,No Preference,4–7 days,2,<2000,Best amenities,Sometimes,No,Somewhat Important,"Real-time price predictions, Hotel comparison engine, Targeted discount alerts, Customer reviews",Agoda,Limited deals,Desktop Website,₹299+,Probably Not,Only if price difference is small,Not Likely,Amenities,Price,No,Early check-in
25–34,433730,Master’s Degree,Other,Once a year,Weekly,No Preference,8–14 days,3–5,7000–10000,Balanced,Never,Maybe,Extremely Important,Personalized stay duration suggestions,Goibibo,Booking too late,Desktop Website,Depends on the savings,Never,Only if price difference is small,Absolutely,Brand name,Brand name,No,
25–34,411240,Bachelor’s Degree,Working Professional,Monthly or more,Occasionally,City Hotel,Same day,3–5,4000–7000,Best amenities,Rarely,Maybe,Not Important,"Customer reviews, Targeted discount alerts, Personalized stay duration suggestions","Booking.com, Goibibo","Limited deals, Prices fluctuate too much, Poor UI/UX",Desktop Website,₹99,Probably Not,"Yes, definitely",Not Likely,Brand name,Location,Yes,Early check-in
45–54,564228,Master’s Degree,Student,2–3 times a year,Occasionally,No Preference,15+ days,3–5,4000–7000,Best amenities,Always,No,Not Important,"Personalized stay duration suggestions, Customer reviews","Others, Goibibo, Airbnb",Booking too late,Mobile App,₹99,Definitely,"Yes, definitely",Absolutely,Amenities,Brand name,No,
25–34,157232,Master’s Degree,Freelancer,2–3 times a year,Monthly,Resort Hotel,Same day,6–10,2000–4000,Best amenities,Rarely,Yes,Somewhat Important,"Real-time price predictions, Customer reviews, Personalized stay duration suggestions, Hotel comparison engine","Goibibo, Others, Airbnb","Poor UI/UX, Limited deals, Lack of transparent pricing",Travel Agent,Depends on the savings,Unsure,No,Not Likely,Location,Amenities,Yes,Early check-in
55+,344832,Bachelor’s Degree,Other,Rarely,Occasionally,City Hotel,Same day,More than 10,7000–10000,Balanced,Rarely,Yes,Neutral,Customer reviews,"Goibibo, Booking.com, Agoda, Airbnb","Lack of transparent pricing, Limited deals, Prices fluctuate too much",Desktop Website,₹99,Probably Not,Only if price difference is small,Maybe,Brand name,Brand name,No,AI chatbot
Under 18,30167,High School,Other,Every quarter,1–2 times a quarter,City Hotel,Same day,2,4000–7000,Balanced,Rarely,Yes,Not Important,Targeted discount alerts,"OYO, Booking.com",Hidden charges,Travel Agent,₹0,Never,No,Absolutely,Reviews,Price,Yes,AI chatbot
55+,768319,Master’s Degree,Other,Rarely,Never,Resort Hotel,Same day,3–5,4000–7000,Lowest price,Rarely,No,Neutral,"Customer reviews, Targeted discount alerts, Real-time price predictions, Personalized stay duration suggestions","Booking.com, OYO","Prices fluctuate too much, Booking too late, Poor UI/UX",Desktop Website,Depends on the savings,Probably Not,No,Not Likely,Reviews,Location,No,Early check-in
18–24,777036,Master’s Degree,Business Owner,Once a year,Occasionally,City Hotel,Same day,3–5,2000–4000,Lowest price,Always,Maybe,Somewhat Important,"Customer reviews, Targeted discount alerts, Hotel comparison engine",OYO,"Poor UI/UX, Lack of transparent pricing, Limited deals",Travel Agent,₹199,Probably,No,Not Likely,Amenities,Price,No,
45–54,290086,Master’s Degree,Working Professional,Once a year,Weekly,City Hotel,8–14 days,3–5,>10000,Balanced,Always,Maybe,Neutral,Targeted discount alerts,"Goibibo, MakeMyTrip, Booking.com","Hidden charges, Poor UI/UX, Limited deals",Mobile App,₹199,Definitely,No,Absolutely,Brand name,Reviews,Yes,
35–44,198891,Master’s Degree,Freelancer,2–3 times a year,1–2 times a quarter,Resort Hotel,15+ days,3–5,7000–10000,Balanced,Always,Yes,Somewhat Important,"Targeted discount alerts, Personalized stay duration suggestions","OYO, Booking.com, Agoda","Booking too late, Lack of transparent pricing",Desktop Website,₹199,Unsure,Only if price difference is small,Absolutely,Amenities,Brand name,Yes,
55+,46386,Master’s Degree,Freelancer,Every quarter,Weekly,City Hotel,Same day,1,7000–10000,Balanced,Rarely,No,Extremely Important,"Hotel comparison engine, Targeted discount alerts, Customer reviews","Agoda, Booking.com, Goibibo","Prices fluctuate too much, Lack of transparent pricing, Limited deals",Mobile App,₹299+,Probably,Only if price difference is small,Maybe,Reviews,Brand name,No,
18–24,455931,Other,Other,Monthly or more,1–2 times a quarter,City Hotel,Same day,3–5,2000–4000,Balanced,Never,Yes,Somewhat Important,"Targeted discount alerts, Hotel comparison engine, Personalized stay duration suggestions, Real-time price predictions","OYO, Airbnb","Limited deals, Lack of transparent pricing",Mobile App,Depends on the savings,Never,"Yes, definitely",Absolutely,Amenities,Brand name,Yes,Loyalty rewards
35–44,3202736,Bachelor’s Degree,Freelancer,Every quarter,Occasionally,Resort Hotel,Same day,3–5,2000–4000,Best amenities,Never,Maybe,Extremely Important,"Real-time price predictions, Personalized stay duration suggestions","OYO, Airbnb, Others, Goibibo","Booking too late, Poor UI/UX",Travel Agent,Depends on the savings,Probably Not,Only if price difference is small,Not Likely,Brand name,Amenities,Yes,Early check-in
55+,514401,Bachelor’s Degree,Working Professional,Once a year,Never,No Preference,Same day,2,2000–4000,Best amenities,Always,Yes,Somewhat Important,"Customer reviews, Personalized stay duration suggestions","MakeMyTrip, Booking.com, Goibibo","Poor UI/UX, Prices fluctuate too much, Lack of transparent pricing",Desktop Website,₹99,Definitely,Only if price difference is small,Maybe,Brand name,Price,Yes,
35–44,505544,Bachelor’s Degree,Working Professional,Monthly or more,Weekly,Resort Hotel,1–3 days,6–10,2000–4000,Best amenities,Never,Yes,Not Important,"Customer reviews, Real-time price predictions","Agoda, Booking.com, Goibibo",Poor UI/UX,Mobile App,Depends on the savings,Probably Not,No,Absolutely,Reviews,Reviews,Yes,Late check-out
35–44,62972,Bachelor’s Degree,Retired,Every quarter,1–2 times a quarter,City Hotel,1–3 days,6–10,7000–10000,Balanced,Never,Maybe,Not Important,"Targeted discount alerts, Customer reviews","Airbnb, Booking.com, MakeMyTrip, OYO","Booking too late, Limited deals, Hidden charges",Travel Agent,Depends on the savings,Probably Not,Only if price difference is small,Not Likely,Price,Amenities,No,Late check-out
35–44,915673,Master’s Degree,Retired,Every quarter,Monthly,Resort Hotel,4–7 days,3–5,<2000,Best amenities,Never,No,Neutral,Real-time price predictions,"Airbnb, Goibibo","Prices fluctuate too much, Limited deals",Travel Agent,₹99,Probably Not,No,Absolutely,Price,Amenities,Yes,AI chatbot
25–34,424166,Bachelor’s Degree,Student,Monthly or more,Occasionally,City Hotel,Same day,2,<2000,Best amenities,Never,Yes,Somewhat Important,"Targeted discount alerts, Real-time price predictions, Personalized stay duration suggestions","OYO, Agoda, Booking.com, Airbnb",Booking too late,Travel Agent,Depends on the savings,Probably Not,Only if price difference is small,Not Likely,Location,Location,No,Late check-out
35–44,101962,PhD or Higher,Working Professional,Once a year,Never,City Hotel,4–7 days,3–5,2000–4000,Lowest price,Never,Yes,Somewhat Important,Real-time price predictions,"Goibibo, Booking.com","Prices fluctuate too much, Poor UI/UX",Mobile App,Depends on the savings,Definitely,"Yes, definitely",Not Likely,Reviews,Reviews,Yes,AI chatbot
35–44,203616,Master’s Degree,Working Professional,Every quarter,Occasionally,Resort Hotel,8–14 days,2,2000–4000,Lowest price,Sometimes,Yes,Somewhat Important,"Real-time price predictions, Hotel comparison engine",Others,"Booking too late, Poor UI/UX, Prices fluctuate too much",Travel Agent,₹0,Probably,No,Maybe,Location,Brand name,No,Loyalty rewards
45–54,12244,Master’s Degree,Working Professional,Monthly or more,Monthly,City Hotel,4–7 days,2,2000–4000,Best amenities,Always,Yes,Neutral,"Real-time price predictions, Targeted discount alerts",Booking.com,Prices fluctuate too much,Travel Agent,₹99,Never,Only if price difference is small,Maybe,Reviews,Brand name,No,AI chatbot
18–24,159463,Bachelor’s Degree,Retired,Once a year,Never,No Preference,15+ days,3–5,4000–7000,Best amenities,Rarely,Yes,Not Important,"Hotel comparison engine, Personalized stay duration suggestions",Booking.com,Booking too late,Travel Agent,₹0,Probably,Only if price difference is small,Absolutely,Brand name,Location,No,AI chatbot
25–34,177427,High School,Other,Monthly or more,Monthly,City Hotel,1–3 days,1,4000–7000,Best amenities,Never,Maybe,Somewhat Important,"Real-time price predictions, Personalized stay duration suggestions","Airbnb, Goibibo",Booking too late,Mobile App,₹299+,Definitely,No,Maybe,Reviews,Brand name,No,
55+,150077,High School,Other,Monthly or more,Occasionally,Resort Hotel,1–3 days,1,<2000,Balanced,Sometimes,No,Neutral,"Personalized stay duration suggestions, Customer reviews, Real-time price predictions, Targeted discount alerts","MakeMyTrip, Others","Lack of transparent pricing, Limited deals",Travel Agent,₹99,Never,"Yes, definitely",Absolutely,Amenities,Price,Yes,
45–54,1030723,Bachelor’s Degree,Freelancer,Every quarter,1–2 times a quarter,No Preference,Same day,1,2000–4000,Lowest price,Rarely,Yes,Somewhat Important,"Personalized stay duration suggestions, Targeted discount alerts, Customer reviews, Real-time price predictions","Airbnb, MakeMyTrip",Prices fluctuate too much,Mobile App,Depends on the savings,Unsure,"Yes, definitely",Maybe,Location,Brand name,Yes,Loyalty rewards
25–34,102959,High School,Other,Once a year,Occasionally,No Preference,Same day,2,2000–4000,Lowest price,Sometimes,Maybe,Extremely Important,Real-time price predictions,"MakeMyTrip, Airbnb, Goibibo","Prices fluctuate too much, Lack of transparent pricing",Travel Agent,Depends on the savings,Probably,Only if price difference is small,Maybe,Reviews,Price,No,
35–44,306417,Master’s Degree,Business Owner,Every quarter,Occasionally,City Hotel,8–14 days,1,<2000,Lowest price,Never,Yes,Somewhat Important,Real-time price predictions,OYO,"Poor UI/UX, Limited deals",Mobile App,₹0,Definitely,Only if price difference is small,Absolutely,Location,Location,Yes,Late check-out
25–34,71635,Master’s Degree,Retired,Rarely,Occasionally,Resort Hotel,8–14 days,More than 10,4000–7000,Best amenities,Never,Yes,Extremely Important,"Customer reviews, Personalized stay duration suggestions, Hotel comparison engine","MakeMyTrip, Booking.com, Airbnb","Hidden charges, Lack of transparent pricing",Mobile App,₹0,Definitely,Only if price difference is small,Maybe,Reviews,Location,Yes,Loyalty rewards
25–34,650865,Master’s Degree,Working Professional,Rarely,Weekly,City Hotel,15+ days,2,4000–7000,Balanced,Never,Yes,Neutral,"Hotel comparison engine, Customer reviews","Agoda, MakeMyTrip, Airbnb","Hidden charges, Prices fluctuate too much, Poor UI/UX",Desktop Website,₹299+,Definitely,No,Maybe,Price,Price,No,
25–34,287105,Master’s Degree,Other,Once a year,Monthly,City Hotel,Same day,2,4000–7000,Lowest price,Never,Maybe,Neutral,"Customer reviews, Targeted discount alerts, Real-time price predictions",Others,"Prices fluctuate too much, Lack of transparent pricing, Poor UI/UX",Desktop Website,₹299+,Never,No,Maybe,Location,Brand name,Yes,
25–34,725177,Bachelor’s Degree,Retired,Monthly or more,Monthly,Resort Hotel,Same day,2,4000–7000,Lowest price,Rarely,Yes,Not Important,"Personalized stay duration suggestions, Hotel comparison engine, Targeted discount alerts","Booking.com, Others, OYO, Agoda",Poor UI/UX,Desktop Website,Depends on the savings,Probably Not,No,Maybe,Brand name,Location,Yes,Loyalty rewards
35–44,471093,Master’s Degree,Other,Every quarter,Monthly,Resort Hotel,8–14 days,6–10,<2000,Balanced,Rarely,Yes,Somewhat Important,"Hotel comparison engine, Targeted discount alerts, Customer reviews, Personalized stay duration suggestions",MakeMyTrip,"Limited deals, Booking too late",Mobile App,₹199,Unsure,Only if price difference is small,Absolutely,Brand name,Location,Yes,
18–24,695904,Master’s Degree,Student,Every quarter,Weekly,City Hotel,8–14 days,3–5,>10000,Best amenities,Sometimes,Yes,Neutral,"Hotel comparison engine, Customer reviews, Real-time price predictions","Others, Agoda, Airbnb","Poor UI/UX, Booking too late, Lack of transparent pricing",Travel Agent,₹299+,Never,"Yes, definitely",Not Likely,Reviews,Price,Yes,
55+,1568816,Bachelor’s Degree,Working Professional,Once a year,1–2 times a quarter,No Preference,8–14 days,3–5,7000–10000,Best amenities,Always,Yes,Not Important,Targeted discount alerts,OYO,Limited deals,Travel Agent,Depends on the savings,Never,No,Absolutely,Brand name,Location,No,Late check-out
55+,29373,Master’s Degree,Student,Once a year,Occasionally,City Hotel,1–3 days,6–10,7000–10000,Lowest price,Never,Yes,Somewhat Important,Real-time price predictions,"Agoda, Goibibo, Others","Lack of transparent pricing, Prices fluctuate too much, Hidden charges",Mobile App,₹299+,Probably,"Yes, definitely",Absolutely,Brand name,Brand name,No,
35–44,151706,Bachelor’s Degree,Working Professional,Rarely,1–2 times a quarter,No Preference,4–7 days,3–5,<2000,Lowest price,Sometimes,No,Neutral,"Personalized stay duration suggestions, Hotel comparison engine, Real-time price predictions, Customer reviews","Airbnb, Booking.com, Others, OYO","Booking too late, Hidden charges, Prices fluctuate too much",Travel Agent,₹99,Unsure,Only if price difference is small,Absolutely,Location,Location,Yes,AI chatbot
35–44,1183586,Master’s Degree,Retired,2–3 times a year,Weekly,City Hotel,4–7 days,2,7000–10000,Balanced,Sometimes,Maybe,Extremely Important,"Hotel comparison engine, Personalized stay duration suggestions, Targeted discount alerts, Customer reviews","OYO, Others",Booking too late,Mobile App,₹0,Definitely,No,Maybe,Reviews,Price,No,
25–34,158692,Other,Freelancer,Once a year,Monthly,Resort Hotel,Same day,2,7000–10000,Lowest price,Sometimes,No,Neutral,"Personalized stay duration suggestions, Real-time price predictions, Hotel comparison engine","MakeMyTrip, OYO",Hidden charges,Travel Agent,Depends on the savings,Never,No,Maybe,Location,Brand name,No,Late check-out
45–54,298682,High School,Other,2–3 times a year,Occasionally,No Preference,1–3 days,3–5,7000–10000,Balanced,Never,Yes,Extremely Important,"Customer reviews, Hotel comparison engine, Personalized stay duration suggestions","Airbnb, OYO, Others",Lack of transparent pricing,Mobile App,₹299+,Unsure,No,Not Likely,Reviews,Reviews,No,Loyalty rewards
35–44,33800,Master’s Degree,Other,Once a year,Never,Resort Hotel,8–14 days,2,<2000,Lowest price,Never,Yes,Not Important,"Personalized stay duration suggestions, Real-time price predictions, Targeted discount alerts",OYO,Booking too late,Desktop Website,₹0,Probably,Only if price difference is small,Maybe,Brand name,Price,No,AI chatbot
18–24,17095,Master’s Degree,Business Owner,Monthly or more,Never,Resort Hotel,Same day,3–5,4000–7000,Lowest price,Sometimes,Yes,Not Important,"Real-time price predictions, Targeted discount alerts, Personalized stay duration suggestions, Customer reviews","Airbnb, Others, Agoda, MakeMyTrip","Booking too late, Lack of transparent pricing, Prices fluctuate too much",Desktop Website,₹199,Probably Not,Only if price difference is small,Not Likely,Reviews,Reviews,Yes,AI chatbot
45–54,1184562,Other,Student,Monthly or more,1–2 times a quarter,Resort Hotel,1–3 days,2,>10000,Lowest price,Never,Yes,Somewhat Important,Customer reviews,"Others, Agoda","Prices fluctuate too much, Poor UI/UX, Lack of transparent pricing",Travel Agent,₹299+,Unsure,Only if price difference is small,Not Likely,Reviews,Location,Yes,AI chatbot
45–54,380093,Bachelor’s Degree,Other,Rarely,Monthly,Resort Hotel,15+ days,3–5,4000–7000,Best amenities,Sometimes,Maybe,Somewhat Important,"Hotel comparison engine, Personalized stay duration suggestions",Agoda,Limited deals,Travel Agent,Depends on the savings,Definitely,"Yes, definitely",Maybe,Amenities,Brand name,Yes,
